"Account Name","Website","Account Domain","Type","Account Stage","Account Status","NTEE Code (Map to Sub Sectors)","Non-Profit Sector","Non-Profit Sub-Sector","FRU - Sector","FRU - Subsector","TIER"
"Southern University at New Orleans","suno.edu","suno.edu","Prospect","Prospect","Working","B43: University or Technological Institute","B: Education","Higher Education","Education","Higher Education","-"
"Bizattendeesleads","bizattendeesleads.com","bizattendeesleads.com","Prospect","","Responded","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Mision El Faro","hmisionelfaro.org","hmisionelfaro.org","Customer Sub-Account","","Customer","L22: Senior Citizens Housing, Retirement Communities","L: Housing, Shelter","Housing Support Services - General","Human Services","Human Services - Housing, Shelter","-"
"Leads at Show","leadsatshow.com","leadsatshow.com","Prospect","","Responded","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"The Ruth Cheatham Foundation","ruthcheathamfoundation.org","ruthcheathamfoundation.org","Prospect","","Working","G30: Cancer","G: Diseases, Disorders, Medical Disciplines","Cancer Treatment","Healthcare","Healthcare - Cancer","-"
"Bethanynw","bethanynw.org","bethanynw.org","Prospect","","Responded","E86: Patient Services","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","-"
"Patagonia","patagonia.com","patagonia.com","Prospect","","Responded","B60: Adult, Continuing Education","B: Education","Higher Education","Education","Higher Education","-"
"[ARCHIVED]","ourummah.org","ourummah.org","Prospect","","Responded","X40: Islam","X: Religion Related, Spiritual Development","Islamic","Religion","Religion - Islamic","-"
"Islamic Association of Fort Worth","iafw.org","iafw.org","Prospect","","Working","X40: Islamic","X: Religion Related, Spiritual Development","Islamic","Religion","Religion - Islamic","-"
"Kevin Love Fund","kevinlovefund.org","kevinlovefund.org","Customer Sub-Account","Customer New","Customer","G83: Alzheimers Disease","G: Diseases, Disorders, Medical Disciplines","Alzheimer's Care","Healthcare","Healthcare - General","-"
"Cohen Veterans Network Inc","cohenveteransnetwork.org","cohenveteransnetwork.org","Prospect","","Responded","T20: Private Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Private Grant making Foundations","Public and Society Benefit","Public & Society Benefit - General","-"
"Bernardnketiahministries","bernardnketiahministries.org","bernardnketiahministries.org","Prospect","","Opportunity","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","-"
"GLSEN INC","www.glsen.org","glsen.org","Customer","Churned","Partial Churn","R26: LGBT Rights","R: Civil Rights, Social Action, Advocacy","LGBTQIA2S+ Rights","Human Services","Human Services - Civil Rights, Social Justice","-"
"Chapman Cubine Allen + Hussey (Missionwired)","ccah.com","ccah.com","Prospect","","Responded","T12: Philanthropy, Voluntarism and Grantmaking Foundations Fund Raising and Fund Distribution","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","-"
"A BLACK SPACE","ablackspace.org","ablackspace.org","Prospect","","Opportunity","A90: Arts Service Organizations and Activities","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","-"
"Young at Heart Foundation","youngatheartfoundation.com","youngatheartfoundation.com","Prospect","","Opportunity","T12: Philanthropy, Voluntarism and Grantmaking Foundations Fund Raising and Fund Distribution","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Operation Generation","operationgeneration.org","operationgeneration.org","Prospect","","Opportunity","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","-"
"Michael Glover","michaelglover.com","michaelglover.com","Prospect","","Working","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Detroit Youth Choir","detroityouthchoir.org","detroityouthchoir.org","Customer","Churned","Partial Churn","A60: Performing Arts Organizations, Activities","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","-"
"Bright Funds","brightfunds.org","brightfunds.org","Prospect","","Working","T12: Philanthropy, Voluntarism and Grantmaking Foundations Fund Raising and Fund Distribution","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","-"
"ORANGE CRESCENT SCHOOL, INC.","orangecrescent.com","orangecrescent.com","Prospect","","Working","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Givebutter","https://givebutter.com/LASGive","givebutter.com","Prospect","","Opportunity","T12: Philanthropy, Voluntarism and Grantmaking Foundations Fund Raising and Fund Distribution","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","-"
"City University of New York","cuny.edu","cuny.edu","Prospect","Prospect","Meeting Lost","B43: University or Technological Institute","B: Education","Higher Education","Education","Higher Education","-"
"Cross Border Xpress","crossborderxpress.com","crossborderxpress.com","Customer Sub-Account","","Customer","S41: Promotion of Business","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Wildhood Foundation","wildhood.org","wildhood.org","Prospect","","Responded","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","-"
"Save the Children Deutschland","savethechildren.de","savethechildren.de","Prospect","","Responded","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","-"
"Terre des Hommes","tdh.ch","tdh.ch","Prospect","","Working","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","-"
"National Womens Coalition Against Violence & Exploitation","nwcave.org","nwcave.org","Prospect","","Meeting Lost","I70: Protection Against, Prevention of Neglect, Abuse, Exploitation","I: Crime, Legal Related","Crime and Legal related Org - General","Public and Society Benefit","Public & Society Benefit - Crime, Legal","-"
"WD Young Leaders","wdyoungleaders.org","wdyoungleaders.org","Prospect","","Responded","O20: Youth Centers, Boys and Girls Clubs","O: Youth Development","Youth Development Orgs Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","-"
"Know Your Rights Camp","knowyourrightscamp.com","knowyourrightscamp.com","Customer Sub-Account","Customer New","Customer","R20: Civil Rights, Advocacy for Specific Groups","R: Civil Rights, Social Action, Advocacy","Civil Rights, Advocacy for Specific Groups","Human Services","Human Services - Civil Rights, Social Justice","-"
"Charlize Theron Africa Outreach Project","ctaop.org","ctaop.org","Customer Sub-Account","","Responded","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","-"
"Ta'amod","taamod.org","taamod.org","Prospect","","Responded","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","-"
"True Charity Initiative","truecharity.us","truecharity.us","Prospect","","Responded","T12: Philanthropy, Voluntarism and Grantmaking Foundations Fund Raising and Fund Distribution","T: Philanthropy, Voluntarism, and Grant making Foundations","Philanthropy, Voluntarism, and Grant making Foundations - General","Public and Society Benefit","Public & Society Benefit - General","-"
"CC Mercer","crystalcmercer.com","crystalcmercer.com","Prospect","","Responded","A30: Media, Communications Organizations","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","-"
"Dreams And Success Homes","dreamsandsuccesshomes.com","dreamsandsuccesshomes.com","Prospect","","Opportunity","L41: Homeless, Temporary Shelter","L: Housing, Shelter","Temporary Shelter for the Homeless","Human Services","Human Services - Housing, Shelter","-"
"CIVL","civlchicago.com","civlchicago.com","Prospect","","Opportunity","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Callingforhelp","callingforhelp.org","callingforhelp.org","Prospect","","Responded","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","-"
"Sawaed Association","sawaed.ps","sawaed.ps","Prospect","","Meeting Lost","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","-"
"National Trust for Historic Preservation","nthp.org","nthp.org","Prospect","","Responded","A80: Historical Societies, Historical Preservation","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","-"
