account_id,account_name_2025,account_name_2024,cohort_2025,in_2024_all_accounts,gpv_2024_usd,gpv_2025_usd,delta_2025_vs_2024_usd,yoy_2025_vs_2024_pct,account_tier_2025,religious_tier_2025,match_type,religious_match_reason
ADGQGGSZ,Chayenu,Chayenu,legacy_2025,yes,9649.00,150373.00,140724.00,1458.43,Tier 6 (<$5K),TIER 6,exact,NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AWXLEGBE,Hope Gospel Mission,,new_2025,no,0.00,140464.00,140464.00,,Tier 6 (<$5K),TIER 5,exact,Account Name: gospel; Account Name: mission
ALMRZMEX,Dare for More,Dare for More,legacy_2025,yes,76516.00,138283.00,61767.00,80.72,Tier 6 (<$5K),TIER 6,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
AMNHTKVP,China Partnership,China Partnership,legacy_2025,yes,128864.00,136294.00,7430.00,5.77,,TIER 6,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
APGZAWHR,The Episcopal Church,The Episcopal Church,legacy_2025,yes,123170.00,135641.00,12471.00,10.13,Tier 3 ($20K–$50K),TIER 4,exact,Account Name: church; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ABXAPFAP,Petros Network,,new_2025,no,0.00,127303.00,127303.00,,Tier 5 ($5K–10K),TIER 4,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ACPHAQUT,Cathedral City Senior Center,Cathedral City Senior Center,legacy_2025,yes,86720.00,125353.00,38633.00,44.55,Tier 6 (<$5K),TIER 6,exact,Account Name: cathedral
AJWESWNM,Muslim American Society,Muslim American Society,legacy_2025,yes,227726.00,124275.00,-103451.00,-45.43,Tier 6 (<$5K),TIER 6,exact,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
AUTMVMEX,Ignatius Press,Ignatius Press,legacy_2025,yes,134432.00,120763.00,-13669.00,-10.17,Tier 6 (<$5K),TIER 6,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
ARUMCCTP,Excellencies of Christ Ministries,Excellencies of Christ Ministries,legacy_2025,yes,135685.00,113254.00,-22431.00,-16.53,Tier 6 (<$5K),TIER 6,exact,Account Name: ministries; Account Name: christ; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
APECYLUB,Jewish Family Services of Washtenaw County,,new_2025,no,0.00,113008.00,113008.00,,Tier 5 ($5K–10K),TIER 5,exact,Account Name: jewish
AMYHKBYX,Bethlehem University Foundation,Bethlehem University Foundation,legacy_2025,yes,147889.00,108276.00,-39613.00,-26.79,Tier 5 ($5K–10K),TIER 6,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AEKNKCEA,Alex McFarland Ministries,Alex McFarland Ministries,legacy_2025,yes,27207.00,107037.00,79830.00,293.42,Tier 6 (<$5K),TIER 6,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ACZWGJGS,Kenneth Copeland Ministries Canada,,new_2025,no,0.00,104760.00,104760.00,,Tier 5 ($5K–10K),TIER 4,exact,Account Name: ministries
AKLZPDJN,Maahad Tahfiz Mumtazatut Taqwa,Maahad Tahfiz Mumtazatut Taqwa,legacy_2025,yes,124124.00,101820.00,-22304.00,-17.97,Tier 6 (<$5K),TIER 6,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
